Group,Energy,Unit,Equivalent to,Source
approximate energy content,Synthetic crude oil,1.0 Cubic metres (m³),39.40 Gigajoules (GJ),CER Conversions
approximate energy content,Bitumen,1.0 Cubic metres (m³),42.80 Gigajoules (GJ),CER Conversions
approximate energy content,Natural Gas,1.0 Cubic metres (m³),0.0373 Gigajoules (GJ),CER Conversions
approximate energy content,Ethane,1.0 Cubic metres (m³),18.36 Gigajoules (GJ),CER Conversions
approximate energy content,Propane,1.0 Cubic metres (m³),25.53 Gigajoules (GJ),CER Conversions
approximate energy content,Butane,1.0 Cubic metres (m³),28.62 Gigajoules (GJ),CER Conversions
approximate energy content,Asphalt,1.0 Cubic metres (m³),44.46 Gigajoules (GJ),CER Conversions
approximate energy content,Aviation gasoline,1.0 Cubic metres (m³),33.52 Gigajoules (GJ),CER Conversions
approximate energy content,Jet Fuel (Jet A-1),1.0 Cubic metres (m³),34.70 Gigajoules (GJ),CER Conversions
approximate energy content,Diesel,1.0 Cubic metres (m³),38.68 Gigajoules (GJ),CER Conversions
approximate energy content,Heavy fuel oil,1.0 Cubic metres (m³),41.73 Gigajoules (GJ),CER Conversions
approximate energy content,Kerosene,1.0 Cubic metres (m³),37.68 Gigajoules (GJ),CER Conversions
approximate energy content,Heating Oil,1.0 Cubic metres (m³),36.72 Gigajoules (GJ),CER Conversions
approximate energy content,Lubes and greases,1.0 Cubic metres (m³),39.16 Gigajoules (GJ),CER Conversions
approximate energy content,Motor gasoline,1.0 Cubic metres (m³),34.66 Gigajoules (GJ),CER Conversions
approximate energy content,Naphtha specialties,1.0 Cubic metres (m³),35.17 Gigajoules (GJ),CER Conversions
approximate energy content,Petrochemical feedstock,1.0 Cubic metres (m³),34.17 Gigajoules (GJ),CER Conversions
approximate energy content,Petroleum coke,1.0 Cubic metres (m³),42.38 Gigajoules (GJ),CER Conversions
approximate energy content,Still gas,1.0 Cubic metres (m³),41.73 Gigajoules (GJ),CER Conversions
approximate energy content,Other products,1.0 Cubic metres (m³),39.82 Gigajoules (GJ),CER Conversions
approximate energy content,Ethanol,1.0 Cubic metres (m³),23.60 Gigajoules (GJ),CER Conversions
approximate energy content,Hydrogen (gas),1.0 Cubic metres (m³),0.012 Gigajoules (GJ),CER Conversions
approximate energy content,Methanol,1.0 Cubic metres (m³),15.60 Gigajoules (GJ),CER Conversions
approximate energy content,Biodiesel,1.0 Cubic metres (m³),34.00 Gigajoules (GJ),AFDC
approximate energy content,Renewable Diesel,1.0 Cubic metres (m³),37.00 Gigajoules (GJ),AFDC
approximate energy content,Renewable Gasoline,1.0 Cubic metres (m³),32.92 Gigajoules (GJ),AFDC - assume 5% lower than gasoline
